Complaint_ID,Intake_Date,Days_To_Close,Program_Type,Civil_Rights_Flag,Determination,Region,SLA_Breach
FNS-2025-0001,2025-10-11,22,SFSP,False,Substantiated,Austin,False
FNS-2025-0002,2026-06-14,43,SFSP,True,Unsubstantiated,Dallas,True
FNS-2025-0003,2026-03-28,17,CACFP,False,Inconclusive,Fort Worth,False
FNS-2025-0004,2025-10-15,37,SFSP,True,Substantiated,Lubbock,True
FNS-2025-0005,2025-09-10,27,NSLP,False,Substantiated,Lubbock,False
FNS-2025-0006,2026-01-05,22,CACFP,False,Inconclusive,Austin,False
FNS-2025-0007,2025-07-21,44,CACFP,True,Substantiated,Dallas,True
FNS-2025-0008,2025-10-11,17,NSLP,False,Substantiated,Dallas,False
FNS-2025-0009,2025-10-30,24,NSLP,False,Substantiated,Dallas,False
FNS-2025-0010,2026-01-31,24,CACFP,False,Unsubstantiated,San Antonio,False
FNS-2025-0011,2026-05-27,11,SFSP,False,Unsubstantiated,Houston,False
FNS-2025-0012,2025-09-26,36,CACFP,True,Substantiated,San Antonio,True
FNS-2025-0013,2025-10-08,36,NSLP,True,Substantiated,Houston,True
FNS-2025-0014,2026-06-25,24,CACFP,False,Unsubstantiated,Dallas,False
FNS-2025-0015,2025-11-29,20,NSLP,False,Unsubstantiated,Dallas,False
FNS-2025-0016,2025-11-08,33,CACFP,False,Unsubstantiated,San Antonio,True
FNS-2025-0017,2025-11-27,28,SFSP,False,Substantiated,San Antonio,False
FNS-2025-0018,2026-05-05,35,CACFP,False,Non-Responsive,Houston,True
FNS-2025-0019,2026-03-15,21,CACFP,False,Unsubstantiated,Lubbock,False
FNS-2025-0020,2026-06-09,14,NSLP,False,Unsubstantiated,Houston,False
FNS-2025-0021,2026-04-20,20,NSLP,False,Unsubstantiated,San Antonio,False
FNS-2025-0022,2026-01-08,33,NSLP,False,Non-Responsive,Fort Worth,True
FNS-2025-0023,2026-04-03,32,CACFP,False,Unsubstantiated,San Antonio,True
FNS-2025-0024,2025-12-08,38,SFSP,True,Substantiated,Fort Worth,True
FNS-2025-0025,2026-05-10,42,NSLP,True,Substantiated,Austin,True
FNS-2025-0026,2025-07-22,17,NSLP,False,Substantiated,San Antonio,False
FNS-2025-0027,2026-03-10,24,CACFP,False,Substantiated,Austin,False
FNS-2025-0028,2026-02-21,28,NSLP,True,Non-Responsive,Lubbock,False
FNS-2025-0029,2026-06-10,43,SFSP,True,Substantiated,Houston,True
FNS-2025-0030,2025-08-18,15,SFSP,False,Unsubstantiated,Fort Worth,False
FNS-2025-0031,2025-08-28,27,NSLP,True,Substantiated,Houston,False
FNS-2025-0032,2025-12-17,33,NSLP,True,Substantiated,Austin,True
FNS-2025-0033,2026-01-04,24,CACFP,False,Unsubstantiated,Fort Worth,False
FNS-2025-0034,2026-03-28,19,SFSP,False,Unsubstantiated,Houston,False
